みます,check/look at
さがします,look for/search
おくれます,be late
じかんに,on time (by the appointed time)
まにあいます,be in time
やります,do
ひろいます,pick up
れんらくします,contact/communicate
きぶんがいい,feel well/feel good
きぶんがわるい,feel bad/feel sick
うんどうかい,sports day
ぼんおどり,bon festival dance
ばしょ,place/location
ボランティア,volunteer
さいふ,wallet
ごみ,trash/garbage
こっかいぎじどう,National Diet Building
へいじつ,weekday
べん,dialect
こんど,next time
じゅうぶん［な］,enough/sufficient
ちょくせつ,directly
いつでも,anytime
どこでも,anywhere
だれでも,anyone
なんでも,anything
こんな,like this/this kind of
そんな,like that/that kind of
あんな,like that over there/that kind of
かたづきます,become tidy/be organized
だします,put out/take out
もえるごみ,burnable trash
おきば,place for putting things
よこ,side
びん,bottle
かん,can
ガス,gas
かいしゃ,company
うちゅう,space/universe
さま,very respectful title
うちゅうせん,spaceship
こわい,scary/afraid
うちゅうステーション,space station
ちがいます,different/be wrong
うちゅうひこうし,astronaut
ほしであきひこ,Akihiko Hoshide (Japanese astronaut)
かいます,keep a pet
はしります,run
みえます,can be seen
きこえます,can be heard
できます,be made/be completed
ひらきます,set up/open/hold
しんぱい［な］,worried
ペット,pet
とり,bird
こえ,voice
なみ,wave
はなび,fireworks
どうぐ,tool
クリーニング,cleaning
いえ,home/house
マンション,apartment
キッチン,kitchen
きょうしつ,classroom
パーティールーム,party room
かた,person
ご,after
しか,only
ほかの,other/others
はっきり,clearly
かぐ,furniture
ほんだな,bookcase
たてます,build
いつか,one day/someday
すばらしい,wonderful/awesome
こどもたち,children
だいすき,like very much/love
しゅじんこう,hero/main character
かたち,shape/form
ふしぎ［な］,mysterious/strange
ポケット,pocket
たとえば,for example
つけます,attach/put on
じゆうに,freely
そら,sky
とびます,fly
むかし,old days/past
じぶん,oneself
みらい,future
