わたし,I
あなた,you (often avoided; use name instead)
あのひと,that person/he/she
あのかた,that person/he/she (polite)
〜さん,Mr./Ms. ~ (polite suffix added to names)
〜ちゃん,~ (suffix for children or close friends)
〜じん,~ person/nationality (used with country names)
せんせい,teacher/instructor (for others profession)
きょうし,teacher/instructor (for own profession)
がくせい,student
かいしゃいん,company employee
〜しゃいん,employee of ~ company (after company names)
ぎんこういん,bank employee
いしゃ,doctor
だいがく,university
びょういん,hospital
だれ,who
どなた,who (polite)
〜さい,~years old (used for age)
なんさい,how old
おいくつ,how old (polite)
はい,yes
いいえ,no/not at all/ you are welcome
けんきゅうしゃ,researcher/scholar
はじめまして,Nice to meet you/How do you do (used only when meeting someone first time)
〜からきました,I am from〜/I came from〜 (used to state your origin/ country/ city/ etc.)
どうぞよろしくおねがいします,Pleased to meet you/Please treat me well (used at the end of introductions)
しつれいですが,Excuse me… but… (used before asking something personal or interrupting)
おなまえは,May I have your name? (polite way to ask someone's name)
こちらは〜さんです,This is Mr./Ms. ~ (used when introducing someone to another person)
これ,this (thing near the speaker)
それ,that (thing near the listener)
あれ,that (thing far from both)
この〜,this ~ (used before noun)
その〜,that ~ (used before noun)
あの〜,that ~ (used before noun)
ほん,book
じしょ,dictionary
ざっし,magazine
しんぶん,newspaper
ノート,notebook
てちょう,personal organizer
めいし,business card
カード,card (credit cards/ID cards/etc.)
えんぴつ,pencil
ボールペン,ballpoint pen
シャープペンシル,mechanical pencil
かぎ,key
とけい,watch/clock
かさ,umbrella
かばん,bag/briefcase
シーディー,CD/compact disc
テレビ,television
ラジオ,radio
カメラ,camera
コンピューター,computer
くるま,car/vehicle
つくえ,desk
いす,chair
チョコレート,chocolate
コーヒー,coffee
おみやげ,souvenir/present/gift from trip
えいご,the English language
にほんご,the Japanese language
〜ご,language ~ (used with country names)
なん,what (used before t/d/n sounds)
なに,what (used in other cases except those)
そう,so/that's right/like that (used to express agreement or confirmation)
ええと,umm/well/let me see (filler word used while thinking what to say)
あのう,umm/err (filler word used to show hesitation or politeness)
えっ,Oh?/What! (used when surprised or hearing something unexpected)
どうぞ,Here you are/Here you go (used when offering something to someone)
どうもありがとうございます,Thank you very much (most polite way to express gratitude)
そうですか,I see (used when receiving new information)
ちがいます,No it isn't/You are wrong (used to politely disagree or correct something)
あ,Oh!/Ah! (used when realizing or remembering something suddenly)
ああ,ah/yes/ohh (used when realizing or understanding or acknowledging something)
これからおせわになります,Thank you in advance for your kindness (used when starting a new relationship or job)
こちらこそどうぞよろしくおねがいします,Pleased to meet you too (used as a polite response to an introduction)
ここ,here/this place (near me)
そこ,there/that place (near you)
あそこ,over there/that place (far from both)
どこ,where/what place
こちら,this way/this place (polite)
そちら,that way/that place (polite)
あちら,over there/that place (polite)
どちら,which way/where (polite)
きょうしつ,classroom
